date,store_id,product_id,category,price,promotion,day_of_week,is_weekend,holiday,stock_available,units_sold
2023-12-13,S001,P001,Dairy,50.0,0,2,0,0,228,72
2023-12-14,S001,P001,Dairy,47.5,0,3,0,0,127,85
2023-12-15,S001,P001,Dairy,50.0,0,4,0,0,154,65
2023-12-16,S001,P001,Dairy,50.0,0,5,1,0,271,96
2023-12-17,S001,P001,Dairy,45.0,0,6,1,0,180,115
2023-12-18,S001,P001,Dairy,40.0,1,0,0,0,163,162
2023-12-19,S001,P001,Dairy,50.0,0,1,0,0,132,81
2023-12-20,S001,P001,Dairy,50.0,0,2,0,0,159,78
2023-12-21,S001,P001,Dairy,50.0,0,3,0,0,212,176
2023-12-22,S001,P001,Dairy,50.0,0,4,0,0,199,81
2023-12-23,S001,P001,Dairy,50.0,0,5,1,0,216,99
2023-12-24,S001,P001,Dairy,50.0,0,6,1,0,237,96
2023-12-25,S001,P001,Dairy,50.0,0,0,0,1,233,78
2023-12-26,S001,P001,Dairy,50.0,0,1,0,0,160,76
2023-12-27,S001,P001,Dairy,50.0,0,2,0,0,231,82
2023-12-28,S001,P001,Dairy,50.0,0,3,0,0,153,79
2023-12-29,S001,P001,Dairy,50.0,0,4,0,0,141,78
2023-12-30,S001,P001,Dairy,50.0,0,5,1,0,201,92
2023-12-31,S001,P001,Dairy,50.0,0,6,1,0,254,91
2024-01-01,S001,P001,Dairy,45.0,0,0,0,1,206,91
2024-01-02,S001,P001,Dairy,50.0,0,1,0,0,220,74
2024-01-03,S001,P001,Dairy,50.0,0,2,0,0,144,78
2024-01-04,S001,P001,Dairy,50.0,0,3,0,0,167,72
2024-01-05,S001,P001,Dairy,50.0,0,4,0,0,206,74
2024-01-06,S001,P001,Dairy,50.0,0,5,1,0,222,88
2024-01-07,S001,P001,Dairy,50.0,0,6,1,0,190,105
2024-01-08,S001,P001,Dairy,50.0,0,0,0,0,236,76
2024-01-09,S001,P001,Dairy,50.0,0,1,0,0,240,83
2024-01-10,S001,P001,Dairy,50.0,0,2,0,0,30,30
2024-01-11,S001,P001,Dairy,50.0,0,3,0,0,190,78
2024-01-12,S001,P001,Dairy,50.0,0,4,0,0,177,79
2024-01-13,S001,P001,Dairy,50.0,0,5,1,0,220,94
2024-01-14,S001,P001,Dairy,47.5,0,6,1,0,291,109
2024-01-15,S001,P001,Dairy,50.0,0,0,0,0,192,81
2024-01-16,S001,P001,Dairy,50.0,0,1,0,0,187,79
2024-01-17,S001,P001,Dairy,50.0,0,2,0,0,161,74
2024-01-18,S001,P001,Dairy,50.0,0,3,0,0,203,78
2024-01-19,S001,P001,Dairy,50.0,0,4,0,0,137,82
2024-01-20,S001,P001,Dairy,40.0,1,5,1,0,155,155
2024-01-21,S001,P001,Dairy,50.0,0,6,1,0,194,103
2024-01-22,S001,P001,Dairy,47.5,0,0,0,0,187,95
2024-01-23,S001,P001,Dairy,50.0,0,1,0,0,129,81
2024-01-24,S001,P001,Dairy,50.0,0,2,0,0,191,72
2024-01-25,S001,P001,Dairy,50.0,0,3,0,0,191,76
2024-01-26,S001,P001,Dairy,50.0,0,4,0,0,132,84
2024-01-27,S001,P001,Dairy,50.0,0,5,1,0,219,90
2024-01-28,S001,P001,Dairy,50.0,0,6,1,0,219,109
2024-01-29,S001,P001,Dairy,50.0,0,0,0,0,135,71
2024-01-30,S001,P001,Dairy,40.0,1,1,0,0,180,164
2024-01-31,S001,P001,Dairy,50.0,0,2,0,0,149,81
2024-02-01,S001,P001,Dairy,52.5,0,3,0,0,206,64
2024-02-02,S001,P001,Dairy,50.0,0,4,0,0,236,83
2024-02-03,S001,P001,Dairy,50.0,0,5,1,0,253,82
2024-02-04,S001,P001,Dairy,50.0,0,6,1,0,198,108
2024-02-05,S001,P001,Dairy,50.0,0,0,0,0,161,81
2024-02-06,S001,P001,Dairy,50.0,0,1,0,0,238,66
2024-02-07,S001,P001,Dairy,50.0,0,2,0,0,218,83
2024-02-08,S001,P001,Dairy,50.0,0,3,0,0,213,88
2024-02-09,S001,P001,Dairy,50.0,0,4,0,0,176,82
2024-02-10,S001,P001,Dairy,50.0,0,5,1,0,183,96
2024-02-11,S001,P001,Dairy,50.0,0,6,1,0,269,103
2024-02-12,S001,P001,Dairy,50.0,0,0,0,0,177,77
2024-02-13,S001,P001,Dairy,50.0,0,1,0,0,206,82
2024-02-14,S001,P001,Dairy,50.0,0,2,0,0,178,82
2024-02-15,S001,P001,Dairy,50.0,0,3,0,0,156,76
2024-02-16,S001,P001,Dairy,50.0,0,4,0,0,243,77
2024-02-17,S001,P001,Dairy,50.0,0,5,1,0,174,93
2024-02-18,S001,P001,Dairy,50.0,0,6,1,0,201,98
2024-02-19,S001,P001,Dairy,40.0,1,0,0,0,135,135
2024-02-20,S001,P001,Dairy,50.0,0,1,0,0,229,70
